Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-04-26,1.22,1.22,0.99,1.02,3467,0,0
2021-04-27,1.04,1.18,1.02,1.18,1326,0,0
2021-04-28,1.07,1.07,0.82,0.82,13861,0,0
2021-04-29,0.74,2.57,0.74,2.05,62807,0,0
2021-04-30,1.84,2.09,1.8,2.04,19090,0,0
2021-05-03,1.7,1.7,1.45,1.67,6490,0,0
2021-05-04,2.23,3.15,2.23,2.69,38823,0,0
2021-05-05,2.45,3.55,2.43,3.45,42135,0,0
2021-05-06,5.04,7.31,4.04,6.55,5756,0,0
2021-05-07,6.11,6.34,5.15,6.27,1318,0,0
2021-05-10,6.75,7.32,6.75,7.07,397,0,0
2021-05-11,8.36,8.36,6.82,6.82,18,0,0
2021-05-12,8.74,9.5,8.74,9.5,25,0,0
2021-05-13,7.07,7.07,7.07,7.07,0,0,0
2021-05-14,6.15,6.15,5.87,5.87,27,0,0
2021-05-17,5.86,6.94,5.65,5.93,32,0,0
2021-05-18,3.55,3.89,3.32,3.89,27,0,0
2021-05-19,4.79,4.98,3.35,3.8,108,0,0
2021-05-20,3.7,4.02,3.52,3.7,236,0,0
2021-05-21,3.39,4.01,3.35,4.01,545,0,0
