Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-03-29,2.5,2.5,2.21,2.21,75,0,0
2021-03-30,1.62,1.76,1.16,1.16,115,0,0
2021-03-31,0.67,0.7,0.54,0.54,133,0,0
2021-04-01,0.37,0.38,0.31,0.34,70,0,0
2021-04-05,0.38,0.38,0.38,0.38,30,0,0
2021-04-06,0.23,0.23,0.21,0.21,294,0,0
2021-04-07,0.31,0.46,0.31,0.46,181,0,0
2021-04-08,0.29,0.29,0.22,0.22,177,0,0
2021-04-09,0.21,0.25,0.2,0.23,130,0,0
2021-04-12,0.15,0.27,0.11,0.22,2208,0,0
2021-04-13,0.12,0.12,0.1,0.1,274,0,0
2021-04-14,0.12,0.27,0.12,0.25,8524,0,0
2021-04-15,0.38,0.86,0.35,0.42,35702,0,0
2021-04-16,0.63,0.65,0.16,0.23,48932,0,0
