Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-03-15,8.0,8.0,7.1,7.1,5,0,0
2021-03-17,6.43,7.63,6.4,7.59,63,0,0
2021-03-24,4.25,4.25,3.8,3.8,18,0,0
2021-03-25,4.16,4.57,4.16,4.57,3,0,0
2021-03-26,4.32,4.32,4.14,4.14,10,0,0
2021-03-29,3.87,3.87,3.55,3.55,6,0,0
2021-03-30,4.78,4.78,4.78,4.78,7,0,0
2021-03-31,6.35,7.15,6.35,7.15,11,0,0
2021-04-05,7.1,7.1,7.1,7.1,8,0,0
2021-04-07,6.25,6.25,5.25,5.25,15,0,0
2021-04-08,6.0,6.22,6.0,6.0,10,0,0
2021-04-09,5.55,5.55,5.2,5.2,4,0,0
2021-04-12,4.76,4.76,4.76,4.76,2,0,0
2021-04-13,5.55,6.4,5.21,5.75,75,0,0
2021-04-14,4.4,4.4,3.75,3.95,33,0,0
2021-04-15,3.15,3.15,2.32,2.83,14387,0,0
2021-04-16,2.46,2.46,2.24,2.4,738,0,0
2021-04-19,2.27,2.65,1.64,2.65,1245,0,0
2021-04-20,2.9,2.9,2.05,2.16,213,0,0
2021-04-21,2.5,3.06,2.5,3.06,519,0,0
2021-04-22,2.98,3.5,2.73,2.82,191,0,0
2021-04-23,3.65,3.65,3.15,3.5,615,0,0
2021-04-26,2.87,3.4,2.75,3.1,723,0,0
2021-04-27,2.06,2.3,1.89,1.97,1148,0,0
2021-04-28,1.96,2.4,1.83,1.94,710,0,0
2021-04-29,0.9,1.03,0.66,0.89,8874,0,0
2021-04-30,0.56,1.1,0.03,0.03,96856,0,0
